02/05/2026|18:30 Bangkok United vs Ayutthaya United|https://streaming.cdnx-sportnobar.xyz/live/sd-6MvZ61SgtCmWihHDpH.m3u8
02/05/2026|19:00 Villarreal vs Levante|https://hls.livelivelive.space/live/4358408.m3u8?txSecret=737a25f87d7f18353fb9e3ea6724de4d&txTime=1776963459
02/05/2026|19:00 VILLARREAL VS LEVANTE|https://maling.pl/17875.mpd|https://maling.pl/17875.drm
02/05/2026|19:00 VILLARREAL VS LEVANTE [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/cfca527d0f16403396a71b2d3d54c32f/index.mpd|3d756d566ca94e6499518ffb1474d5d0:dbe4ad6803e74739b8f954d23cc58e7b
02/05/2026|20:00 UDINESE VS TORINO|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
02/05/2026|20:30 BAYERN MUNCHEN VS HEIDENHEIM|https://d2tjypxxy769fn.cloudfront.net/out/v1/89a6e4261cd7470f83e5869e90440cff/index.mpd|39c4dc6704cf4ceea2fd4863b88d8a7d:4e9d7954c2ff46759289da4fc9f018ea
02/05/2026|20:30 FRANKFURT VS HAMBURG|https://d3b0v7fggu5zwm.cloudfront.net/out/v1/d2c68a3dfb644808b416bd90dcc92d5f/index.mpd|911e72adf36946afbdbb4f80782a8394:08aec548a851ba64b7172ae7f05cb91c
02/05/2026|20:30 WERDER BREMEN VS AUGSBURG|https://d2xz2v5wuvgur6.cloudfront.net/out/v1/2fcc58ccec8c45e9aa094fb980eb642d/index.mpd|b576e5f5f1bc4cbaa866e5b0face5a30:3377be6c3b5f688ebed687312c9b9d95
02/05/2026|21:00 NEWCASTLE VS BRIGHTON|https://maling.pl/9182.mpd|https://maling.pl/9182.drm
02/05/2026|21:00 WOLVES VS SUNDERLAND|https://maling.pl/19375.mpd|https://maling.pl/19375.drm
02/05/2026|21:00 BRENTFORD VS WEST HAM|https://maling.pl/9183.mpd|https://maling.pl/9183.drm
02/05/2026|21:15 VALENCIA VS ATLETICO MADRID|https://maling.pl/17875.mpd|https://maling.pl/17875.drm
02/05/2026|21:15 VALENCIA VS ATLETICO MADRID [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/cfca527d0f16403396a71b2d3d54c32f/index.mpd|3d756d566ca94e6499518ffb1474d5d0:dbe4ad6803e74739b8f954d23cc58e7b
02/05/2026|23:00 ARSENAL VS FULHAM|https://maling.pl/9182.mpd|https://maling.pl/9182.drm
02/05/2026|23:00 COMO VS NAPOLI|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
02/05/2026|23:30 ALAVES VS ATHLETIC CLUB|https://maling.pl/17875.mpd|https://maling.pl/17875.drm
02/05/2026|23:30 ALAVES VS ATHLETIC CLUB [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/cfca527d0f16403396a71b2d3d54c32f/index.mpd|3d756d566ca94e6499518ffb1474d5d0:dbe4ad6803e74739b8f954d23cc58e7b

03/05/2026|01:00 AJAX VS PSV|https://maling.pl/6685.mpd|https://maling.pl/6685.drm
03/05/2026|01:45 ATALANTA VS GENOA|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
03/05/2026|02:00 OSASUNA VS BARCELONA|https://maling.pl/17875.mpd|https://maling.pl/17875.drm
03/05/2026|02:00 OSASUNA VS BARCELONA [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/cfca527d0f16403396a71b2d3d54c32f/index.mpd|3d756d566ca94e6499518ffb1474d5d0:dbe4ad6803e74739b8f954d23cc58e7b
03/05/2026|15:30 PERSIK KEDIRI VS AREMA|https://maling.pl/19354.mpd|https://maling.pl/19354.drm
03/05/2026|17:30 BOLOGNA VS CAGLIARI|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
03/05/2026|19:00 DEWA UNITED VS SEMEN PADANG|https://maling.pl/19354.mpd|https://maling.pl/19354.drm
03/05/2026|19:00 CELTA VIGO VS ELCHE|https://maling.pl/6299.mpd|https://maling.pl/6299.drm
03/05/2026|19:00 CELTA VIGO VS ELCHE [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/3b0660e05eed4d769521eb0275aab3ab/index.mpd|3ae6a430c1b8420ea280e317143d8d3a:142473ee925db0db0083c74a178c8298
03/05/2026|19:30 FORTUNA SITTARD VS FEYENOORD|https://maling.pl/6685.mpd|https://maling.pl/6685.drm
03/05/2026|20:00 BOURNEMOUTH VS CRYSTAL PALACE|https://maling.pl/9183.mpd|https://maling.pl/9183.drm
03/05/2026|20:00 SASSUOLO VS MILAN|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
03/05/2026|21:15 GETAFE VS RAYO VALLECANO|https://maling.pl/6299.mpd|https://maling.pl/6299.drm
03/05/2026|21:15 GETAFE VS RAYO VALLECANO [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/3b0660e05eed4d769521eb0275aab3ab/index.mpd|3ae6a430c1b8420ea280e317143d8d3a:142473ee925db0db0083c74a178c8298
03/05/2026|21:30 MANCHESTER UNITED VS LIVERPOOL|https://maling.pl/9182.mpd|https://maling.pl/9182.drm
03/05/2026|21:30 MANCHESTER UNITED VS LIVERPOOL [DATA ZONE]|https://maling.pl/19536.mpd|https://maling.pl/19536.drm
03/05/2026|21:45 AZ ALKMAAR VS TWENTE|https://maling.pl/6685.mpd|https://maling.pl/6685.drm
03/05/2026|23:00 JUVENTUS VS VERONA|https://maling.pl/19404.mpd|https://maling.pl/19404.drm
03/05/2026|23:30 REAL BETIS VS REAL OVIEDO|https://maling.pl/17875.mpd|https://maling.pl/17875.drm
03/05/2026|23:30 REAL BETIS VS REAL OVIEDO [ALT]|https://d6m3sfa7e58z5.cloudfront.net/out/v1/cfca527d0f16403396a71b2d3d54c32f/index.mpd|3d756d566ca94e6499518ffb1474d5d0:dbe4ad6803e74739b8f954d23cc58e7b
